fecha,hora,timestamp_unix,camara_id,lugar,total_personas,ids_detectados,frame_numero,fps_video
2026-05-01,18:03:41,1777676620.996,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",15,13.09
2026-05-01,18:03:41,1777676621.026,CAM-01,Pasillo,14,"12,13,14,15,16,17,19,20,24,32,34,35,21,33",14,30.00
2026-05-01,18:03:41,1777676621.782,CAM-03,Caja,6,"1,4,3,38,31,41",33,12.00
2026-05-01,18:03:42,1777676622.032,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",22,13.09
2026-05-01,18:03:42,1777676622.099,CAM-01,Pasillo,15,"12,13,14,15,16,17,19,20,24,32,21,37,42,39,26",21,30.00
2026-05-01,18:03:43,1777676622.864,CAM-03,Caja,4,"1,3,31,38",40,12.00
2026-05-01,18:03:43,1777676623.056,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",29,13.09
2026-05-01,18:03:43,1777676623.160,CAM-01,Pasillo,12,"12,13,14,15,16,17,20,24,32,21,37,33",28,30.00
2026-05-01,18:03:44,1777676623.918,CAM-03,Caja,4,"1,3,31,4",47,12.00
2026-05-01,18:03:44,1777676624.074,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",36,13.09
2026-05-01,18:03:44,1777676624.229,CAM-01,Pasillo,10,"12,13,14,15,17,20,24,32,21,42",35,30.00
2026-05-01,18:03:45,1777676625.008,CAM-03,Caja,4,"1,3,4,51",54,12.00
2026-05-01,18:03:45,1777676625.122,CAM-02,Entrada,12,"1,2,3,4,5,6,7,8,9,47,10,49",43,13.09
2026-05-01,18:03:45,1777676625.306,CAM-01,Pasillo,14,"12,14,15,17,20,24,32,21,26,48,45,52,19,53",42,30.00
2026-05-01,18:03:46,1777676626.070,CAM-03,Caja,3,"1,3,51",61,12.00
2026-05-01,18:03:46,1777676626.130,CAM-02,Entrada,9,"1,2,3,4,5,8,9,47,11",50,13.09
2026-05-01,18:03:46,1777676626.373,CAM-01,Pasillo,13,"12,14,15,17,32,21,26,54,55,48,13,16,42",49,30.00
2026-05-01,18:03:47,1777676627.145,CAM-02,Entrada,10,"1,2,3,5,8,9,47,11,57,4",57,13.09
2026-05-01,18:03:47,1777676627.144,CAM-03,Caja,4,"1,3,51,59",68,12.00
2026-05-01,18:03:47,1777676627.461,CAM-01,Pasillo,15,"12,14,15,17,32,21,26,54,13,56,42,55,16,20,24",56,30.00
2026-05-01,18:03:48,1777676628.153,CAM-03,Caja,4,"1,3,51,60",76,12.00
2026-05-01,18:03:48,1777676628.229,CAM-02,Entrada,10,"1,2,3,5,8,9,11,47,57,4",66,13.09
2026-05-01,18:03:48,1777676628.639,CAM-01,Pasillo,14,"12,14,15,17,32,21,26,54,13,56,42,55,20,24",57,30.00
2026-05-01,18:03:49,1777676629.221,CAM-03,Caja,4,"1,3,51,60",80,12.00
2026-05-01,18:03:49,1777676629.305,CAM-02,Entrada,10,"1,2,3,8,9,11,47,57,4,6",71,13.09
2026-05-01,18:03:49,1777676629.727,CAM-01,Pasillo,17,"12,14,15,17,32,21,26,54,13,42,20,24,61,45,16,64,65",64,30.00
2026-05-01,18:03:50,1777676630.309,CAM-02,Entrada,11,"1,2,3,8,9,11,47,57,4,68,6",77,13.09
2026-05-01,18:03:50,1777676630.369,CAM-03,Caja,4,"1,51,60,3",86,12.00
2026-05-01,18:03:50,1777676630.817,CAM-01,Pasillo,15,"12,14,15,17,32,21,26,54,13,42,24,45,16,61,56",71,30.00
2026-05-01,18:03:51,1777676631.461,CAM-02,Entrada,10,"1,2,3,8,9,47,57,4,11,68",84,13.09
2026-05-01,18:03:51,1777676631.527,CAM-03,Caja,5,"1,51,60,3,72",92,12.00
2026-05-01,18:03:52,1777676631.909,CAM-01,Pasillo,14,"12,15,17,32,26,54,42,24,45,55,21,13,16,20",78,30.00
2026-05-01,18:03:52,1777676632.615,CAM-02,Entrada,8,"1,2,3,8,57,4,11,9",91,13.09
2026-05-01,18:03:52,1777676632.669,CAM-03,Caja,4,"1,51,60,3",98,12.00
